date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:28:51	237554/237554	---MCZ	200	added ('OK')	text/html	etag:W/%22b24e21299b4e8705c8428240ae8038a4%22	https://tsn.ua/ukrayina/nischat-vlasnu-tehniku-i-vidayut-yiyi-za-ukrayinsku-schob-pokazati-svoyi-peremogi-sbu-oprilyudnila-rozmovu-okupantiv-2026117.html	tsn.ua/ukrayina/nischat-vlasnu-tehniku-i-vidayut-yiyi-za-ukrayinsku-schob-pokazati-svoyi-peremogi-sbu-oprilyudnila-rozmovu-okupantiv-2026117.html	(from )
10:28:52	767/767	---M--	200	added ('OK')	text/plain	date:Wed,%2006%20Jan%202021%2013:07:10%20GMT	https://tsn.ua/robots.txt		(from )
10:28:53	236986/236986	---MCZ	200	added ('OK')	text/html	etag:W/%2246789e7b2419d37d352e8638c5ebc20c%22	https://tsn.ua/ukrayina/nasha-brigada-konkretno-obis-las-okupant-telefonom-pozhalivsya-druzhini-scho-yim-vazhko-voyuvati-z-zsu-2025274.html	tsn.ua/ukrayina/nasha-brigada-konkretno-obis-las-okupant-telefonom-pozhalivsya-druzhini-scho-yim-vazhko-voyuvati-z-zsu-2025274.html	(from https://tsn.ua/ukrayina/nischat-vlasnu-tehniku-i-vidayut-yiyi-za-ukrayinsku-schob-pokazati-svoyi-peremogi-sbu-oprilyudnila-rozmovu-okupantiv-2026117.html)
10:28:54	235461/235461	---MCZ	200	added ('OK')	text/html	etag:W/%223e3809c08ea16a9cca247760fabd4ac9%22	https://tsn.ua/ukrayina/ukrayina-hoche-mati-mozhlivist-mobilizuvati-milyon-rezervistiv-arahamiya-pro-novu-oboronnu-koncepciyu-2025034.html	tsn.ua/ukrayina/ukrayina-hoche-mati-mozhlivist-mobilizuvati-milyon-rezervistiv-arahamiya-pro-novu-oboronnu-koncepciyu-2025034.html	(from https://tsn.ua/ukrayina/nischat-vlasnu-tehniku-i-vidayut-yiyi-za-ukrayinsku-schob-pokazati-svoyi-peremogi-sbu-oprilyudnila-rozmovu-okupantiv-2026117.html)
10:28:55	238039/238039	---MCZ	200	added ('OK')	text/html	etag:W/%22f24ab99a81d2a5e2800d089874602b7b%22	https://tsn.ua/ukrayina/tiktok-viyska-kadirova-viklali-video-realnogo-boyu-z-banderivskim-svitloforom-i-porozhnoyu-budivleyu-video-2025175.html	tsn.ua/ukrayina/tiktok-viyska-kadirova-viklali-video-realnogo-boyu-z-banderivskim-svitloforom-i-porozhnoyu-budivleyu-video-2025175.html	(from https://tsn.ua/ukrayina/nischat-vlasnu-tehniku-i-vidayut-yiyi-za-ukrayinsku-schob-pokazati-svoyi-peremogi-sbu-oprilyudnila-rozmovu-okupantiv-2026117.html)
10:28:56	239428/239428	---MCZ	200	added ('OK')	text/html	etag:W/%22c655290efc1f998c80a547a2bb789490%22	https://tsn.ua/ukrayina/pid-zavalami-budivli-mikolayivskoyi-oda-znayshli-sche-troh-zagiblih-kilkist-zhertv-vzhe-nalichuye-28-lyudey-2026126.html	tsn.ua/ukrayina/pid-zavalami-budivli-mikolayivskoyi-oda-znayshli-sche-troh-zagiblih-kilkist-zhertv-vzhe-nalichuye-28-lyudey-2026126.html	(from https://tsn.ua/ukrayina/nischat-vlasnu-tehniku-i-vidayut-yiyi-za-ukrayinsku-schob-pokazati-svoyi-peremogi-sbu-oprilyudnila-rozmovu-okupantiv-2026117.html)
10:28:56	190817/190817	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Apr%202022%2009:28:56%20GMT	https://tsn.ua/ukrayina/(/[^/?]+)?	tsn.ua/ukrayina/(/[^/index6560.html	(from https://tsn.ua/ukrayina/nischat-vlasnu-tehniku-i-vidayut-yiyi-za-ukrayinsku-schob-pokazati-svoyi-peremogi-sbu-oprilyudnila-rozmovu-okupantiv-2026117.html)
10:28:56	190810/190810	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20Apr%202022%2009:28:56%20GMT	https://tsn.ua/ukrayina/[^/?]+	tsn.ua/ukrayina/[^/indexa3c0.html	(from https://tsn.ua/ukrayina/nischat-vlasnu-tehniku-i-vidayut-yiyi-za-ukrayinsku-schob-pokazati-svoyi-peremogi-sbu-oprilyudnila-rozmovu-okupantiv-2026117.html)
10:28:57	240054/240054	---MCZ	200	added ('OK')	text/html	etag:W/%227a3b91471158c7d83ff968ee74e6da98%22	https://tsn.ua/ukrayina/fsb-zlila-ukrayinskiy-rozvidci-dani-pro-kadirivciv-2024491.html	tsn.ua/ukrayina/fsb-zlila-ukrayinskiy-rozvidci-dani-pro-kadirivciv-2024491.html	(from https://tsn.ua/ukrayina/tiktok-viyska-kadirova-viklali-video-realnogo-boyu-z-banderivskim-svitloforom-i-porozhnoyu-budivleyu-video-2025175.html)
10:28:58	238388/238388	---MCZ	200	added ('OK')	text/html	etag:W/%22e2129f812d7606d9362006082632f56a%22	https://tsn.ua/ukrayina/malenke-serdenko-ne-vitrimalo-u-lisichansku-pomerla-ditina-v-budinok-yakoyi-priletiv-snaryad-okupantiv-2025172.html	tsn.ua/ukrayina/malenke-serdenko-ne-vitrimalo-u-lisichansku-pomerla-ditina-v-budinok-yakoyi-priletiv-snaryad-okupantiv-2025172.html	(from https://tsn.ua/ukrayina/tiktok-viyska-kadirova-viklali-video-realnogo-boyu-z-banderivskim-svitloforom-i-porozhnoyu-budivleyu-video-2025175.html)
